# rundle_name	url	corrected_name (fill this in, then run apply_o_fixes.py)
D_Evergreen_Div_2	https://learnedleague.com/match.php?109&1&D_Evergreen_Div_2	O'KeefeB
D_Fjord_Div_2	https://learnedleague.com/match.php?109&1&D_Fjord_Div_2	O'NeillP2
D_Foundry_Div_1	https://learnedleague.com/match.php?109&1&D_Foundry_Div_1	O'ConnellJ99
D_Galaxy_Div_1	https://learnedleague.com/match.php?109&1&D_Galaxy_Div_1	O'SullivanD
D_Garden_Div_2	https://learnedleague.com/match.php?109&1&D_Garden_Div_2	O'PhelanB
D_Highland_Div_1	https://learnedleague.com/match.php?109&1&D_Highland_Div_1	O'RourkeP
D_Horizon_Div_1	https://learnedleague.com/match.php?109&1&D_Horizon_Div_1	O'GradyT
D_Jungle_Div_1	https://learnedleague.com/match.php?109&1&D_Jungle_Div_1	O'NeillA
D_Lagoon_Div_2	https://learnedleague.com/match.php?109&1&D_Lagoon_Div_2	O'NeillS4
D_Lighthouse_Div_1	https://learnedleague.com/match.php?109&1&D_Lighthouse_Div_1	O'SullivanL
D_Lyceum_Div_1	https://learnedleague.com/match.php?109&1&D_Lyceum_Div_1	O'DonnellM4
D_Meridian_Div_1	https://learnedleague.com/match.php?109&1&D_Meridian_Div_1	O'DonoghueJ
D_Mosaic_Div_1	https://learnedleague.com/match.php?109&1&D_Mosaic_Div_1	O'ConnorK5
D_Mountain_Div_1	https://learnedleague.com/match.php?109&1&D_Mountain_Div_1	O'NeillM9
D_Nautilus_Div_2	https://learnedleague.com/match.php?109&1&D_Nautilus_Div_2	O'ConnorL2
D_Orchid_Div_1	https://learnedleague.com/match.php?109&1&D_Orchid_Div_1	O'PolkaM
D_Overlook_Div_2	https://learnedleague.com/match.php?109&1&D_Overlook_Div_2	O'GormanT
D_Pacific_Div_2	https://learnedleague.com/match.php?109&1&D_Pacific_Div_2	O'KeefeJ5
D_Park_Div_2	https://learnedleague.com/match.php?109&1&D_Park_Div_2	O'ConnellL
D_Plateau_Div_1	https://learnedleague.com/match.php?109&1&D_Plateau_Div_1	O'NeillCaitlion
D_Ravenna_Div_2	https://learnedleague.com/match.php?109&1&D_Ravenna_Div_2	O'DonnellaJ
D_Rubicon_Div_1	https://learnedleague.com/match.php?109&1&D_Rubicon_Div_1	O'DonovanJ
D_Sakura_Div_2	https://learnedleague.com/match.php?109&1&D_Sakura_Div_2		COLLISION: [('O', "brienf'"), ('O', "reillyl'")]
D_Sycamore_Div_1	https://learnedleague.com/match.php?109&1&D_Sycamore_Div_1	O'BrienC2
D_Tidewater_Div_1	https://learnedleague.com/match.php?109&1&D_Tidewater_Div_1	O'ConnorJ5
D_Tidewater_Div_2	https://learnedleague.com/match.php?109&1&D_Tidewater_Div_2	O'DonnellT
D_Tundra_Div_1	https://learnedleague.com/match.php?109&1&D_Tundra_Div_1	O'HareR
D_Village_Div_1	https://learnedleague.com/match.php?109&1&D_Village_Div_1	O'DudenT
D_Willow_Div_1	https://learnedleague.com/match.php?109&1&D_Willow_Div_1	O'BrienM7
D_Windward_Div_2	https://learnedleague.com/match.php?109&1&D_Windward_Div_2	O'FarrellB
D_Woodlands_Div_1	https://learnedleague.com/match.php?109&1&D_Woodlands_Div_1	O'LearyK
D_Zephyr_Div_1	https://learnedleague.com/match.php?109&1&D_Zephyr_Div_1	O'ConnorB
E_Alpine_Div_1	https://learnedleague.com/match.php?109&1&E_Alpine_Div_1	O'BrienD
E_Archipelago_Div_2	https://learnedleague.com/match.php?109&1&E_Archipelago_Div_2	O'NeilcareY
E_Arctic_Div_2	https://learnedleague.com/match.php?109&1&E_Arctic_Div_2	O'DonnellKM
E_Aspen_Div_2	https://learnedleague.com/match.php?109&1&E_Aspen_Div_2	O'DwyerR
E_Bayou_Div_2	https://learnedleague.com/match.php?109&1&E_Bayou_Div_2	O'ConnellR2
E_Beach_Div_1	https://learnedleague.com/match.php?109&1&E_Beach_Div_1	O'BrienD23
E_Blue_Div_1	https://learnedleague.com/match.php?109&1&E_Blue_Div_1		COLLISION: [('O', "donnellk3'"), ('O', "keefee'")]
E_Boardwalk_Div_1	https://learnedleague.com/match.php?109&1&E_Boardwalk_Div_1	O'BrienC3
E_Coastal_Div_2	https://learnedleague.com/match.php?109&1&E_Coastal_Div_2	O'ConnorR2
E_Continental_Div_1	https://learnedleague.com/match.php?109&1&E_Continental_Div_1	O'ConnorA
E_Delta_Div_2	https://learnedleague.com/match.php?109&1&E_Delta_Div_2	O'BrienP2
E_Denali_Div_1	https://learnedleague.com/match.php?109&1&E_Denali_Div_1		COLLISION: [('O', "dellb'"), ('O', "dells'")]
E_Foothills_Div_2	https://learnedleague.com/match.php?109&1&E_Foothills_Div_2	O'LearyH
E_Forest_Div_2	https://learnedleague.com/match.php?109&1&E_Forest_Div_2	O'RourkeC
E_Galaxy_Div_2	https://learnedleague.com/match.php?109&1&E_Galaxy_Div_2		COLLISION: [('O', "brienm4'"), ('O', "briens'"), ('O', "briens2'")]
E_Geyser_Div_2	https://learnedleague.com/match.php?109&1&E_Geyser_Div_2	O'ConnorJ4
E_Horizon_Div_2	https://learnedleague.com/match.php?109&1&E_Horizon_Div_2	O'NeillR2
E_Kaleidoscope_Div_2	https://learnedleague.com/match.php?109&1&E_Kaleidoscope_Div_2	O'LearyO
E_Labyrinth_Div_2	https://learnedleague.com/match.php?109&1&E_Labyrinth_Div_2	O'NeillT2
E_Lagoon_Div_1	https://learnedleague.com/match.php?109&1&E_Lagoon_Div_1	O'ConnorCozy
E_Memorial_Div_1	https://learnedleague.com/match.php?109&1&E_Memorial_Div_1	O'ConnellL3
E_Mountain_Div_2	https://learnedleague.com/match.php?109&1&E_Mountain_Div_2	O'TooleL
E_Nebula_Div_2	https://learnedleague.com/match.php?109&1&E_Nebula_Div_2	O'LearyA
E_Nighthawk_Div_2	https://learnedleague.com/match.php?109&1&E_Nighthawk_Div_2	O'KeefeS2
E_Ocean_Div_1	https://learnedleague.com/match.php?109&1&E_Ocean_Div_1	O'MalleyJ3
E_Olympic_Div_1	https://learnedleague.com/match.php?109&1&E_Olympic_Div_1	O'DonoghueA
E_Oxbow_Div_1	https://learnedleague.com/match.php?109&1&E_Oxbow_Div_1	O'MalleyJ2
E_Pacific_Div_1	https://learnedleague.com/match.php?109&1&E_Pacific_Div_1	O'HalloranT
E_Plaza_Div_2	https://learnedleague.com/match.php?109&1&E_Plaza_Div_2	O'KeefeM2
E_Riviera_Div_1	https://learnedleague.com/match.php?109&1&E_Riviera_Div_1	O'BoyleR
E_Rubicon_Div_1	https://learnedleague.com/match.php?109&1&E_Rubicon_Div_1	O'DonovanK
E_Savanna_Div_1	https://learnedleague.com/match.php?109&1&E_Savanna_Div_1		O'Mahoney-SchwartzD
E_Taiga_Div_1	https://learnedleague.com/match.php?109&1&E_Taiga_Div_1	O'RourkeJ
E_Taiga_Div_2	https://learnedleague.com/match.php?109&1&E_Taiga_Div_2	O'NeillC
E_Valhalla_Div_2	https://learnedleague.com/match.php?109&1&E_Valhalla_Div_2	O'ConnellB
E_Vista_Div_1	https://learnedleague.com/match.php?109&1&E_Vista_Div_1	O'KeefeD1
E_Volcano_Div_1	https://learnedleague.com/match.php?109&1&E_Volcano_Div_1	O'ConnorPVolcano
E_Wilderness_Div_1	https://learnedleague.com/match.php?109&1&E_Wilderness_Div_1	O'DonnellCM
E_Willow_Div_2	https://learnedleague.com/match.php?109&1&E_Willow_Div_2	O'MalleyJ4
E_Windward_Div_1	https://learnedleague.com/match.php?109&1&E_Windward_Div_1	O'ConnorD
R_Div_10	https://learnedleague.com/match.php?109&1&R_Div_10	O'NeilP
R_Div_13	https://learnedleague.com/match.php?109&1&R_Div_13	O'NeillK2
R_Div_19	https://learnedleague.com/match.php?109&1&R_Div_19	O'NeilM2
R_Div_32	https://learnedleague.com/match.php?109&1&R_Div_32		COLLISION: [('D', "alessiod'"), ('O', "harem'")]
R_Div_33	https://learnedleague.com/match.php?109&1&R_Div_33	O'BrienA3
R_Div_34	https://learnedleague.com/match.php?109&1&R_Div_34	O'FooleM
R_Div_43	https://learnedleague.com/match.php?109&1&R_Div_43	O'DohertyS
R_Div_5	https://learnedleague.com/match.php?109&1&R_Div_5	O'LearyB
R_Div_57	https://learnedleague.com/match.php?109&1&R_Div_57	O'LearyN3
R_Div_58	https://learnedleague.com/match.php?109&1&R_Div_58	O'ConnellP
R_Div_59	https://learnedleague.com/match.php?109&1&R_Div_59	O'DwyerO
R_Div_61	https://learnedleague.com/match.php?109&1&R_Div_61	O'HaraJ
R_Div_63	https://learnedleague.com/match.php?109&1&R_Div_63	O'ConnorC3
R_Div_64	https://learnedleague.com/match.php?109&1&R_Div_64	O'ConnorE
R_Div_7	https://learnedleague.com/match.php?109&1&R_Div_7	O'SullivanJ3
