# rundle_name	url	corrected_name (fill this in, then run apply_o_fixes.py)
A_Boardwalk	https://learnedleague.com/match.php?108&1&A_Boardwalk	O'SheaT
A_Cerulean	https://learnedleague.com/match.php?108&1&A_Cerulean	O'HaraW
A_Foothills	https://learnedleague.com/match.php?108&1&A_Foothills	O'LearyR0
A_Foundry	https://learnedleague.com/match.php?108&1&A_Foundry	O'NeillM3
A_Juniper	https://learnedleague.com/match.php?108&1&A_Juniper	O'NeillC2
A_Lyceum	https://learnedleague.com/match.php?108&1&A_Lyceum	O'DonnellJ2
A_Meridian	https://learnedleague.com/match.php?108&1&A_Meridian	O'MalleyD
A_Mesa	https://learnedleague.com/match.php?108&1&A_Mesa	O'ConnorT
A_Morningstar	https://learnedleague.com/match.php?108&1&A_Morningstar	O'NeillR
A_Ocean	https://learnedleague.com/match.php?108&1&A_Ocean	O'MalleyK
A_Savanna	https://learnedleague.com/match.php?108&1&A_Savanna	O'NealP
A_Seneca	https://learnedleague.com/match.php?108&1&A_Seneca	O'BrienMS
A_Spring	https://learnedleague.com/match.php?108&1&A_Spring		COLLISION: [('O', "loanes'"), ('O', "rourkels'")]
A_Tidewater	https://learnedleague.com/match.php?108&1&A_Tidewater	O'GradyS
A_Veldt	https://learnedleague.com/match.php?108&1&A_Veldt	O'SullivanC
A_Vista	https://learnedleague.com/match.php?108&1&A_Vista	O'NeillD16
A_Waterfront	https://learnedleague.com/match.php?108&1&A_Waterfront	O'LoughlinS
A_Windward	https://learnedleague.com/match.php?108&1&A_Windward	O'BrianP
B_Arctic	https://learnedleague.com/match.php?108&1&B_Arctic	O'SheaA
B_Bayou	https://learnedleague.com/match.php?108&1&B_Bayou	O'QuinnE
B_Cherry	https://learnedleague.com/match.php?108&1&B_Cherry	O'BrienDF
B_Commonwealth	https://learnedleague.com/match.php?108&1&B_Commonwealth	O'HeronB
B_Ember	https://learnedleague.com/match.php?108&1&B_Ember	O'MalleyR
B_Foundry	https://learnedleague.com/match.php?108&1&B_Foundry	O'ConnorCR
B_Garden	https://learnedleague.com/match.php?108&1&B_Garden	O'ConnorC2
B_Juniper	https://learnedleague.com/match.php?108&1&B_Juniper	O'LearyC
B_Kaleidoscope	https://learnedleague.com/match.php?108&1&B_Kaleidoscope	O'SullivanJ
B_Orange	https://learnedleague.com/match.php?108&1&B_Orange	O'BrienB
B_Redwoods	https://learnedleague.com/match.php?108&1&B_Redwoods	O'BrienC5
B_Skyline	https://learnedleague.com/match.php?108&1&B_Skyline	O'ConnorP3
B_Zenith	https://learnedleague.com/match.php?108&1&B_Zenith	O'BrienJ
C_Atlantic_Div_2	https://learnedleague.com/match.php?108&1&C_Atlantic_Div_2	O'QuinnK
